Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
Standard Chartered Easemytrip Credit Card,Standard Chartered,Visa Classic,,,
Axis Bank Pride Signature Credit Card,Axis Bank,Visa Signature,,,
Canara Bank Rupay Platinum Secured Credit Card,Canara Bank,Rupay Platinum,,,
HDFC Bank Freedom Credit Card,HDFC Bank,Visa Classic,,,
Central Bank of India SBI Prime Card,State Bank of India,Visa Signature,,,
ICICI Bank Rubyx Credit Card,ICICI Bank,Visa Platinum,Mastercard Platinum,"American Express Platinum
",
RBL Bank MyFirst Mastercard Credit Card   ,RBL Bank,Mastercard Standard,Visa Classic,,
 CSC Small Business MoneyBack Credit Card,HDFC Bank,Visa Classic,Mastercard Standard,,
Ola Money SBI Credit Card,State Bank of India,Visa Classic,,,
HDFC Millennia Credit Card,HDFC Bank,Visa Signature,Mastercard World,,
Club Vistara SBI Card,State Bank of India,Mastercard World,,,
Central Bank of India SBI Elite Credit Card,State Bank of India,Visa Signature,,,
Union Bank of India Visa Gold Credit Card,Union Bank of India,Visa Gold,,,
ICSI Diamond Bobcard,Bank of Baroda,Mastercard Standard,Rupay Classic ,,
Indusind Samman RuPay Credit Card ,IndusInd Bank,Rupay Platinum,,,
Tata Star Card Select,Tata Cards,Mastercard Platinum,,,
DBS Spark 10 Credit Card  ,DBS Bank,Visa Classic,,,
City Union Bank SimplySave SBI Card,City Union Bank,Visa Classic,,,
Federal Bank AmpliFi Credit Card ,Federal Bank,Visa Platinum,,,
Adani One ICICI Platinum Credit Card ,ICICI Bank,Visa Platinum,,,
Myntra Kotak Credit Card,Kotak Mahindra Bank,Mastercard Standard,Rupay Select,,
Indusind Crest Credit Card,IndusInd Bank,Mastercard World Elite,,,
BOB Easy Credit Card,Bank of Baroda,Visa Platinum,,,
HDFC Moneyback Credit Card,HDFC Bank,Visa Classic,,,
Indusind Pioneer Heritage Credit Card,IndusInd Bank,Mastercard World Elite,,,
RBL Bank Moneytap Credit Card,RBL Bank,Moneycard Standard,,,
RBL Bank Icon Credit Card,RBL Bank,Mastercard World,,,
IDBI Euphoria World Credit Card,IDBI Bank,Mastercard World,,,
Union Bank of India Rupay Select Credit Card,Union Bank of India,Rupay Select,,,
RBL Bank Platinum Shopgain Credit Card   ,RBL Bank,Mastercard Platinum,,,
Paytm SBI Credit Card,State Bank of India,Visa Classic,Rupay Platinum,,
BPCL SBI Credit Card,State Bank of India,Visa Classic,Rupay Platinum,,
IDFC First Power+ RuPay Credit Card,IDFC First Bank,Rupay Select,Visa Classic,,
Lifestyle Home Centre SBI Card Select,State Bank of India,Visa Signature,,,
Kotak IndiGo 6E Rewards XL Credit Card,Kotak Mahindra Bank,Visa Signature,,,
IDFC First SWYP Credit Card,IDFC First Bank,Mastercard Standard,,,
RBL Bank Monthly Treats Credit Card  ,RBL Bank,Mastercard Standard,,,
Axis Bank Titanium Smart Traveller Credit Card,Axis Bank,Mastercard Standard,,,
Axis Insta Easy Credit Card,Axis Bank,Visa Platinum,,,
South Indian Bank SBI Platinum Credit Card,South Indian Bank,Visa Platinum,,,
HDFC All Miles Credit Card,HDFC Bank,Visa Signature,,,
HDFC Bank World Mastercard Credit Card,HDFC Bank,Mastercard World,,,
IDFC First Wealth Credit Card,IDFC First Bank,Visa Infinite,,,
Airtel Axis Bank Credit Card,Axis Bank,Rupay Select,Visa Classic,Mastercard Standard,
RBL Bank iGlobe Credit Card ,RBL Bank,Mastercard World,,,
YES Bank Paisabazaar Paisasave Credit Card,YES Bank,Mastercard Standard,Rupay Platinum,,
IDFC First Mayura Credit Card,IDFC First Bank,Mastercard World,,,
RBL Bank Paisabazaar Duet Plus Card,RBL Bank,Mastercard World,,,
Yatra SBI Card,State Bank of India,Mastercard Titanium,Rupay Platinum,,
IndusInd Bank Platinum RuPay Credit Card,IndusInd Bank,Rupay Platinum,,,
Axis KWIK Credit Card ,Axis Bank,Rupay Platinum,,,
Canara Bank Visa Corporate Credit Card,Canara Bank,Visa Corporate,,,
BPCL SBI Card Octane,State Bank of India,Visa Signature,,,
TVS Credit RBL Bank Gold Card ,RBL Bank,Rupay Select,Mastercard World,,
Indusind Platinum Visa Credit Card,IndusInd Bank,Visa Platinum,,,
HDFC Diners Club Black Credit Card,HDFC Bank,Diners Club International,,,
Reliance SBI Card,State Bank of India,Visa Classic,Rupay Platinum,,
Tata Croma Card Select,Tata Cards,Mastercard World,Visa Platinum,,
IDFC First Select Credit Card,IDFC First Bank,Visa Signature,,,
MoneyTap Black Card,RBL Bank,Mastercard World,,,
IDFC First Classic Credit Card ,IDFC First Bank,Visa Platinum,,,
IndusInd ePay Amex Credit Card,IndusInd Bank,American Express Standard,,,
Canara Bank Rupay Platinum Credit Card,Canara Bank,Rupay Platinum,,,
IDFC First Earn RuPay Credit Card,IDFC First Bank,Rupay Classic,,,
Etihad Guest Premier SBI Card,State Bank of India,Visa Signature,,,
AU Altura Plus Credit Card ,AU Small Finance Bank,Visa Platinum,,,
